Date,Weekly Average
2022-12-30,16565.9925
2022-12-31,16571.3825
2023-01-01,16659.492499999997
2023-01-02,16682.91
2023-01-03,16792.635000000002
2023-01-04,16828.7575
2023-01-05,16875.625
2023-01-06,16945.947500000002
2023-01-07,17039.912500000002
2023-01-08,17202.3875
2023-01-09,17316.260000000002
2023-01-10,17674.875
2023-01-11,18449.7425
2023-01-12,19372.687499999996
2023-01-13,20507.745
2023-01-14,20856.5025
2023-01-15,21036.042500000003
2023-01-16,21202.305
2023-01-17,20966.7275
2023-01-18,20900.0625
2023-01-19,21839.002500000002
2023-01-20,22810.8375
2023-01-21,22715.5775
2023-01-22,22825.6175
2023-01-23,22793.9575
2023-01-24,22952.4025
2023-01-25,23050.637499999997
2023-01-26,23029.6725
2023-01-27,23041.055
2023-01-28,23423
2023-01-29,23217.5075
2023-01-30,22996.820000000003
2023-01-31,23357.670000000002
2023-02-01,23709.655000000002
2023-02-02,23460.387499999997
2023-02-03,23400.12
2023-02-04,23109.225000000002
2023-02-05,22870.452500000003
2023-02-06,23024.752500000002
2023-02-07,23080.817499999997
2023-02-08,22364.3975
2023-02-09,21703.045000000002
2023-02-10,21748.46
2023-02-11,21841.39
2023-02-12,21700.6
2023-02-13,21956.58
2023-02-14,23237.7925
2023-02-15,24148.96
2023-02-16,24112.0425
2023-02-17,24626.7975
2023-02-18,24572.094999999998
2023-02-19,24519.1925
2023-02-20,24673.5975
2023-02-21,24170.905
2023-02-22,24082.5
2023-02-23,23524.7575
2023-02-24,23070.559999999998
2023-02-25,23365.2725
2023-02-26,23512.925
2023-02-27,23313.6575
2023-02-28,23447.6425
2023-03-01,23521.9775
2023-03-02,22816.935
2023-03-03,22316.997499999998
2023-03-04,22407.030000000002
2023-03-05,22425.1075
2023-03-06,22273.07
2023-03-07,21942.75
2023-03-08,20986.075
2023-03-09,20107.4425
2023-03-10,20264.489999999998
2023-03-11,21218.36
2023-03-12,23106.3525
2023-03-13,24786.4925
2023-03-14,24512.4975
2023-03-15,24643.71
2023-03-16,26260.1875
2023-03-17,27151.3675
2023-03-18,27524.42
2023-03-19,27821.587499999998
2023-03-20,27891.0325
2023-03-21,27707.1575
2023-03-22,27850.345
2023-03-23,27781.0475
2023-03-24,27465.2075
2023-03-25,27760.7925
2023-03-26,27406.24
2023-03-27,27134.4375
2023-03-28,27874.940000000002
2023-03-29,28311.9525
2023-03-30,28165.5725
2023-03-31,28489.517499999998
2023-04-01,28252.760000000002
2023-04-02,27918.275
2023-04-03,28018.175000000003
2023-04-04,28228.895
2023-04-05,28024.22
2023-04-06,27951.775
2023-04-07,27964.682500000003
2023-04-08,28148.035
2023-04-09,28975.274999999998
2023-04-10,29994.4425
2023-04-11,30052.975
2023-04-12,30177.875
2023-04-13,30451.692499999997
2023-04-14,30389.905
2023-04-15,30317.434999999998
2023-04-16,29822.91
2023-04-17,29848.015
2023-04-18,29527.659999999996
2023-04-19,28534.762499999997
2023-04-20,27751.3775
2023-04-21,27525.690000000002
2023-04-22,27633.887499999997
2023-04-23,27511.085
2023-04-24,27850.927499999998
2023-04-25,28496.7725
2023-04-26,29039.23
2023-04-27,29318.7525
2023-04-28,29255.505
2023-04-29,29378.159999999996
2023-04-30,28576.4375
2023-05-01,28372.5
2023-05-02,28769.09
2023-05-03,28976.947500000002
2023-05-04,29205.1925
2023-05-05,29118.45
2023-05-06,28702.9525
2023-05-07,27997.972500000003
2023-05-08,27617.0175
2023-05-09,27583.8625
2023-05-10,27224.8875
2023-05-11,26666.55
2023-05-12,26826.942499999997
2023-05-13,26863.355
2023-05-14,27117.335
2023-05-15,27086.247499999998
2023-05-16,27121.0425
2023-05-17,27018.3575
2023-05-18,26878.785
2023-05-19,26989.449999999997
2023-05-20,26948.445
2023-05-21,26808.787500000002
2023-05-22,27090.7075
2023-05-23,26712.1825
2023-05-24,26326.665
2023-05-25,26609.78
2023-05-26,26751.55
2023-05-27,27486.239999999998
2023-05-28,27943.2875
2023-05-29,27755.845
2023-05-30,27394.814999999995
2023-05-31,26995.835
2023-06-01,26966.379999999997
2023-06-02,27140.0075
2023-06-03,27147.612500000003
2023-06-04,26340.1825
2023-06-05,26416.1575
2023-06-06,26771.547499999997
2023-06-07,26464.4875
2023-06-08,26507.4175
2023-06-09,26052.72
2023-06-10,25902.0875
2023-06-11,25884.83
2023-06-12,25996.307500000003
2023-06-13,25495.35
2023-06-14,25321.525
2023-06-15,25909.2625
2023-06-16,26470.7475
2023-06-17,26453.2025
2023-06-18,26627.2575
2023-06-19,27551.77
2023-06-20,29339.97
2023-06-21,29976.105
2023-06-22,30451.34
2023-06-23,30566.485
2023-06-24,30578.4
2023-06-25,30331.665
2023-06-26,30545.3925
2023-06-27,30334.5975
2023-06-28,30354.6675
2023-06-29,30425.3275
2023-06-30,30510.015
2023-07-01,30537.2325
2023-07-02,30930.8725
2023-07-03,30973.35
2023-07-04,30587.35
2023-07-05,30437.67
2023-07-06,30097.535
2023-07-07,30265.152500000004
2023-07-08,30237.995000000003
2023-07-09,30392.015
2023-07-10,30536.824999999997
2023-07-11,30548.8375
2023-07-12,30972.3575
2023-07-13,30824.059999999998
2023-07-14,30298.105
2023-07-15,30256.815
2023-07-16,30091.54
2023-07-17,29937.23
2023-07-18,29929.85
2023-07-19,29924.4075
2023-07-20,29872.44
2023-07-21,29829.955
2023-07-22,29989.435
2023-07-23,29555.432500000003
2023-07-24,29207.265
2023-07-25,29341.9525
2023-07-26,29306.5175
2023-07-27,29300.565
2023-07-28,29332.534999999996
2023-07-29,29279.0575
2023-07-30,29286.285
2023-07-31,29315.8
2023-08-01,29466.75
2023-08-02,29195.2425
2023-08-03,29112.065000000002
2023-08-04,29079.25
2023-08-05,29089.38
2023-08-06,29069.324999999997
2023-08-07,29592.9825
2023-08-08,29722.2675
2023-08-09,29523.985
2023-08-10,29424.69
2023-08-11,29429.774999999998
2023-08-12,29370.247499999998
2023-08-13,29383.137499999997
2023-08-14,29297.445
2023-08-15,28978.3625
2023-08-16,27325.85
2023-08-17,26282.2525
2023-08-18,26059.024999999998
2023-08-19,26140.0125
2023-08-20,26096.835
2023-08-21,25905.585
2023-08-22,26280.2
2023-08-23,26263.6575
2023-08-24,26082.815
2023-08-25,26047.265
2023-08-26,26066.8725
2023-08-27,26085.0675
2023-08-28,26975.2975
2023-08-29,27450.535000000003
2023-08-30,26620.8225
2023-08-31,25808.8925
2023-09-01,25853.63
2023-09-02,25943.932500000003
2023-09-03,25884.115
2023-09-04,25774.059999999998
2023-09-05,25741.142499999998
2023-09-06,26018.3675
2023-09-07,26064.565
2023-09-08,25888.46
2023-09-09,25836.859999999997
2023-09-10,25451.4525
2023-09-11,25675.277499999997
2023-09-12,26057.872499999998
2023-09-13,26432.9975
2023-09-14,26558.6825
2023-09-15,26595.415
2023-09-16,26527.3575
2023-09-17,26769.09
2023-09-18,27031.03
2023-09-19,27130.97
2023-09-20,26807.5975
2023-09-21,26590.092500000002
2023-09-22,26574.4775
2023-09-23,26421.2425
2023-09-24,26247.4525
2023-09-25,26253.067499999997
2023-09-26,26389.182500000003
2023-09-27,26761.3175
2023-09-28,26959.6
2023-09-29,26962.704999999998
2023-09-30,27493.684999999998
2023-10-01,27837.1325
2023-10-02,27439.497499999998
2023-10-03,27561.684999999998
2023-10-04,27665.337499999998
2023-10-05,27703.105
2023-10-06,27939.88
2023-10-07,27914.09
2023-10-08,27688.7775
2023-10-09,27503.309999999998
2023-10-10,27070.4225
2023-10-11,26784.2975
2023-10-12,26859.1575
2023-10-13,26873.265
2023-10-14,27027.052499999998
2023-10-15,28191.895
2023-10-16,28394.9125
2023-10-17,28460.285
2023-10-18,28512.815000000002
2023-10-19,29292.1475
2023-10-20,29855.9025
2023-10-21,29947.565000000002
2023-10-22,31921.989999999998
2023-10-23,33776.265
2023-10-24,34307.67
2023-10-25,34305.71
